,PC1,PC2
MFCC_0,-0.3276925333980376,-0.017462617238216516
MFCC_1,0.43965992345790655,0.25373097591472427
MFCC_2,-0.0456007516153731,-0.08379836968803459
MFCC_3,-0.2735263775933185,-0.241373080106123
MFCC_4,-0.09313265736711043,-0.07358354772268962
MFCC_5,0.22868959340226938,0.07001803522181572
MFCC_6,0.17042894391640095,-0.08046526700458173
MFCC_7,-0.1446836121488613,-0.29212825215768334
MFCC_8,0.29386182345809364,-0.18848482465460215
MFCC_9,0.3608835708353449,0.054065449866051704
MFCC_10,0.24124977805770756,0.10009145628024074
MFCC_11,-0.2714629885914355,-0.12369522157564565
MFCC_12,0.033326630267018764,-0.19669143267121547
MFCC_13,0.020032920283303453,0.12358435832140358
MFCC_14,-0.013639939359072989,0.25168721045886316
MFCC_15,-0.17404919670896044,0.1939258047599364
MFCC_16,0.0007947171429064093,0.2702662949462417
MFCC_17,-0.1547253548827918,0.20550335785827498
MFCC_18,-0.08901870201636798,0.3111702699872126
MFCC_19,-0.14044551307021544,0.30696177446558315
MFCC_20,-0.05285609457508714,0.21693396485949046
MFCC_21,-0.11385724961428766,0.16176430800099623
MFCC_22,-0.003068471502405289,0.2063163851566469
MFCC_23,-0.1006799948069332,0.17762706805119177
MFCC_24,-0.12024640633868552,0.2312955488285405
MFCC_25,-0.1975854593585948,0.2050554207743964
