,PC1,PC2
MFCC_0,-0.32769253329218323,-0.017462617381942238
MFCC_1,0.43965992355830125,0.25373097577103865
MFCC_2,-0.04560075132957555,-0.08379837013451244
MFCC_3,-0.27352637810665487,-0.24137307934097182
MFCC_4,-0.0931326576248461,-0.07358354739684829
MFCC_5,0.22868959363106753,0.07001803495831405
MFCC_6,0.17042894452995716,-0.08046526782711298
MFCC_7,-0.14468361171578278,-0.2921282526875118
MFCC_8,0.2938618232782255,-0.1884848243802236
MFCC_9,0.36088357048725367,0.05406545039780185
MFCC_10,0.2412497786178187,0.10009145541022992
MFCC_11,-0.2714629883738667,-0.12369522192442031
MFCC_12,0.03332662988911818,-0.1966914321785479
MFCC_13,0.020032919941059987,0.12358435874978123
MFCC_14,-0.013639939336297733,0.25168721040370373
MFCC_15,-0.1740491966211695,0.1939258046129805
MFCC_16,0.0007947172044557095,0.27026629490866994
MFCC_17,-0.15472535446168176,0.20550335735266334
MFCC_18,-0.0890187022430133,0.3111702703689636
MFCC_19,-0.1404455132695309,0.3069617746469469
MFCC_20,-0.05285609495571886,0.21693396538314966
MFCC_21,-0.11385724948848942,0.16176430780795173
MFCC_22,-0.0030684719671974737,0.2063163858417842
MFCC_23,-0.10067999472839113,0.1776270679397759
MFCC_24,-0.12024640645860382,0.23129554906111402
MFCC_25,-0.1975854587795657,0.20505541998340418
