,PC1,PC2
CHROMA_0,-0.06454872340164479,-0.17518000358685917
CHROMA_1,-0.05315823907487531,-0.18682146658582102
CHROMA_2,-0.058632182526895296,-0.2083935015394206
CHROMA_3,-0.09952584768639602,-0.20148123304809393
CHROMA_4,-0.0034211208956771207,-0.1461611339544385
CHROMA_5,0.09085104545503603,-0.1279380921569426
CHROMA_6,0.09953532028365766,-0.12006188110884917
CHROMA_7,0.11962368618724051,-0.1116581300382214
CHROMA_8,0.11325478613084528,-0.1270114043830976
CHROMA_9,0.0803885748459542,-0.15009590606970055
CHROMA_10,0.03712438407416444,-0.15550650816268263
CHROMA_11,-0.05001315301623463,-0.1509352078818931
CHROMA_12,0.016884324301228684,0.24782947201545413
CHROMA_13,0.03551881483040939,0.26994105744965385
CHROMA_14,0.057219352336486,0.28371448480924955
CHROMA_15,0.06666774515023852,0.25583596881347104
CHROMA_16,0.04209296903390723,0.23117301963504103
CHROMA_17,-0.01043940643700664,0.2177568877086655
CHROMA_18,-0.03544764497506592,0.20482448588579938
CHROMA_19,-0.04033128862792097,0.16185897682261044
CHROMA_20,-0.028705257518334033,0.17693115252764255
CHROMA_21,-0.01090369158412133,0.2255086931090866
CHROMA_22,0.004496746804822298,0.20922191810889154
CHROMA_23,0.0025484889344128863,0.21644064861160747
CENS_0,-0.05140592402691986,-0.009704420462345056
CENS_1,-0.07310462970460199,-0.05053740681135948
CENS_2,-0.08311198239452465,-0.027193480649107597
CENS_3,-0.07323247893248751,-0.044326095414072876
CENS_4,-0.0849951915515173,-0.04838410160127854
CENS_5,-0.0688808400335967,-0.02430778734039842
CENS_6,-0.04428133671619127,0.002593643061191131
CENS_7,0.19056380838352074,0.02735715087872953
CENS_8,0.10536010475794924,0.05253428321312341
CENS_9,-0.0644727796026508,0.05212076973722789
CENS_10,-0.08890750858177413,0.07374287838563337
CENS_11,-0.10214893871250234,0.09849807188842832
CENS_12,0.04022644605794914,-0.028270434262009037
CENS_13,0.07588320697070187,-0.001901929330770253
CENS_14,0.056579789945042175,-0.016295233998830844
CENS_15,0.037658984614048846,-0.02444370258832163
CENS_16,0.04869890713635279,-0.0293622142318439
CENS_17,0.04429539282695819,-0.03973951621445094
CENS_18,0.09188876532038279,-0.0510693541049885
CENS_19,0.09135974693903774,0.005184889004315915
CENS_20,0.04165327667521982,-0.020783688606503228
CENS_21,0.0653149518636442,-0.015130546890677023
CENS_22,0.06801184090739198,-0.006567313409641921
CENS_23,0.07172696179059018,-0.018155273560381116
SPECTRAL_CENTROID_0,-0.19123911871872748,0.06238047049187624
SPECTRAL_CENTROID_1,-0.10166683260721646,0.011635687924108384
SPECTRAL_BANDWIDTH_0,-0.35514133414470306,0.04963620152573277
SPECTRAL_BANDWIDTH_1,0.015619395398389888,0.01825986812684348
SPECTRAL_CONTRAST_0,0.01913348849724132,-0.02056707460033775
SPECTRAL_CONTRAST_1,-0.015567389933075543,-0.046514889144842024
SPECTRAL_CONTRAST_2,0.11489742106725154,0.009542724038576908
SPECTRAL_CONTRAST_3,0.07743672032135493,0.07916143440268955
SPECTRAL_CONTRAST_4,0.44444405078300514,0.06619950729188212
SPECTRAL_CONTRAST_5,-0.06295076100067225,0.01833675820681272
SPECTRAL_CONTRAST_6,-0.3686910934613206,0.01892114207957973
SPECTRAL_CONTRAST_7,0.008555720930712043,0.0070269510798053065
SPECTRAL_CONTRAST_8,-0.03969275063775389,-0.02508033925710826
SPECTRAL_CONTRAST_9,0.04370780344593131,0.007986699251805618
SPECTRAL_CONTRAST_10,0.02973438877278126,0.04678126550686149
SPECTRAL_CONTRAST_11,0.13723647883124326,0.045965674017753144
SPECTRAL_CONTRAST_12,-0.07982163243664757,0.03546923974353454
SPECTRAL_CONTRAST_13,-0.16335502810952918,0.01724333967736743
SPECTRAL_FLATNESS_0,-0.05918708183062407,0.015454906780126067
SPECTRAL_FLATNESS_1,-0.0828269774496067,0.007571691578233028
SPECTRAL_ROLLOFF_0,-0.28104382837766073,0.08817356555057079
SPECTRAL_ROLLOFF_1,-0.1076104212191627,-0.012544737014188265
TONNETZ_0,0.048975837235297415,0.02359138839961649
TONNETZ_1,0.11995933775999203,0.009570459066316898
TONNETZ_2,0.1383789167583677,0.03114834322735813
TONNETZ_3,0.06249265340902735,-0.01005697143549256
TONNETZ_4,0.08776774519757041,-0.01605868705593859
TONNETZ_5,-0.10269669998014862,-0.022290419343910628
TONNETZ_6,0.00970751215017539,-0.029522028093142305
TONNETZ_7,0.05228728470817042,-0.029467240822578327
TONNETZ_8,0.057888606064871645,0.0032093355158540056
TONNETZ_9,0.016908426970137405,-0.013220687405721545
TONNETZ_10,0.028681618676063083,-0.023133482087514354
TONNETZ_11,0.03456974607498055,-0.009381794641005295
ENTROPY_0,-0.04094611713111362,-0.0003731588471394058
